Customer Number,CountryID,CustType,item_name,ItemId,brandId,Unit,FF Target,MM,FF Target Value,year,Trans_Name,Status,SAP Code,Divested
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,315,1,1080.24,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,360,2,1234.56,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,405,3,1388.88,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,360,4,1234.56,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,495,5,1697.52,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,405,6,1388.88,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,270,7,729,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,270,8,729,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,450,9,1215,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,450,10,1215,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,405,11,1093.5,2019,DPO,Registered,32230,No
59051,1,Institution    ,Dak.O.Gel.,7,4,MB & RP,315,12,850.5,2019,DPO,Registered,32230,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,9.94,1,79.46698667,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,11.36,2,90.81941333,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,12.78,3,102.17184,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,11.36,4,90.81941333,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,15.62,5,124.8766933,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,12.78,6,102.17184,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,8.52,7,38.6808,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,8.52,8,38.6808,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,14.2,9,64.468,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,14.2,10,64.468,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,12.78,11,58.0212,2019,DPO,Registered,412132,No
59051,1,Institution    ,Haldol Decanoace 100 mg. 1 Amp.,41,15,MB & RP,9.94,12,45.1276,2019,DPO,Registered,412132,No
