Material,SKU,CountryCode,Currency,cif_jan,cif_feb,cif_mar,cif_apr,cif_may,cif_jun,cif_jul,cif_aug,cif_sep,cif_oct,cif_nov,cif_dec,tnd_jan,tnd_feb,tnd_mar,tnd_apr,tnd_may,tnd_jun,tnd_jul,tnd_aug,tnd_sep,tnd_oct,tnd_nov,tnd_dec,Discounts,focs,Total Discounts,month,year,createdDate,ModifiedDate
140307,Pevaryl Cream 1 % 15g,BH,USD,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.00%,0.00%,0.00%,10,2019,,
414287,Stelara 45mg/0.5ml ,BH,USD,"3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13",0.00%,0.00%,0.00%,10,2019,,
414288,Stelara 90mg/1ml,BH,USD,"3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","3,342.62","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13","2,862.13",0.00%,0.00%,0.00%,10,2019,,
414963,Velcade Injection 3.5 mg,BH,USD,"1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00","1,235.00",740,740,740,740,740,740,740,740,740,740,740,740,0.00%,0.00%,0.00%,10,2019,,
416936,Motilium 1 mg/ml Oral Suspension 200ml,BH,USD,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.00%,0.00%,0.00%,10,2019,,
376935,Sporanox 100 mg Cap. 15s,BH,USD,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,21.26,0.00%,0.00%,0.00%,10,2019,,
96489,Sporanox 100 mg Cap. 4s,BH,USD,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,0.00%,8.25%,8.25%,10,2019,,
96048,Vermox 500 mg Tab.,BH,USD,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.00%,8.25%,8.25%,10,2019,,
96046,Stugeron 25 mg Tab.,BH,USD,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,0.00%,8.25%,8.25%,10,2019,,
376855,Risperdal 2mg Tab. 20s,BH,USD,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,0.00%,8.25%,8.25%,10,2019,,
376856,Risperdal 3mg Tab. 20s,BH,USD,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,27.36,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,0.00%,8.25%,8.25%,10,2019,,
414900,Remicade 100 mg ,BH,USD,468.97,468.97,468.97,468.97,468.97,468.97,468.97,468.97,468.97,468.97,468.97,468.97,260,260,260,260,260,260,260,260,260,260,260,260,0.00%,8.25%,8.25%,10,2019,,
141021,Topamax 100 mg Tab.,BH,USD,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,0.00%,8.25%,8.25%,10,2019,,
412301,Topamax 15 mg Sprinkle Cap.,BH,USD,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,0.00%,8.25%,8.25%,10,2019,,
141016,Topamax 25 mg Tab.,BH,USD,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,0.00%,8.25%,8.25%,10,2019,,
141019,Topamax 50 mg Tab.,BH,USD,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,25.91,0.00%,8.25%,8.25%,10,2019,,
414448,Zytiga 250 mg Tabs,BH,USD,"3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71","3,439.71",0.00%,8.25%,8.25%,10,2019,,
96065,Vermox 100 mg Tab. 240's,BH,USD,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,0.00%,8.25%,8.25%,10,2019,,
96063,Vermox 100 mg Tab. 6s,BH,USD,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.00%,8.25%,8.25%,10,2019,,
418514,Motilium 10 mg Tab. 30s,BH,USD,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,0.00%,8.25%,8.25%,10,2019,,
412323,Pevisone Cream ,BH,USD,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,0.00%,8.25%,8.25%,10,2019,,
414050,Resolor 1 mg Film-Coated Tabs.,BH,USD,32.51,32.51,26.33,26.33,32.51,32.51,26.33,26.33,32.51,32.51,26.33,26.33,32.51,32.51,26.33,26.33,32.51,32.51,26.33,26.33,32.51,32.51,26.33,26.33,0.00%,8.25%,8.25%,10,2019,,
414053,Resolor 2 mg Film-Coated Tabs.,BH,USD,53.46,53.46,43.29,43.29,53.46,53.46,43.29,43.29,53.46,53.46,43.29,43.29,53.46,53.46,43.29,43.29,53.46,53.46,43.29,43.29,53.46,53.46,43.29,43.29,0.00%,8.25%,8.25%,10,2019,,
385589,Yondelis 1 mg Injection ,BH,USD,"2,468.87","2,468.87","2,089.17","2,089.17","2,468.87","2,468.87","2,089.17","2,089.17","2,468.87","2,468.87","2,089.17","2,089.17","2,468.87","2,468.87","2,089.17","2,089.17","2,468.87","2,468.87","2,089.17","2,089.17","2,468.87","2,468.87","2,089.17","2,089.17",0.00%,8.25%,8.25%,10,2019,,
412675,Simponi 50 mg/ 0.5 ml Injection (PFP),BH,USD,"1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56","1,094.56",900,900,900,900,900,900,900,900,900,900,900,900,0.00%,8.25%,8.25%,10,2019,,
387104,Prezista 400 mg Tablets,BH,USD,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,402.77,0.00%,8.25%,8.25%,10,2019,,
387107,Prezista 600 mg Tablets,BH,USD,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,615.22,0.00%,8.25%,8.25%,10,2019,,
87518,Risperdal 1 mg/ml Oral Solution,BH,USD,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,24,24,24,24,24,24,24,24,24,24,24,24,0.00%,8.25%,8.25%,10,2019,,
376595,Risperdal Consta 25 mg Inj.  ,BH,USD,116.79,116.79,73.96,73.96,116.79,116.79,73.96,73.96,116.79,116.79,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,0.00%,8.25%,8.25%,10,2019,,
376596,Risperdal Consta 37.5 mg Inj. ,BH,USD,154.05,154.05,102.95,102.95,154.05,154.05,102.95,102.95,154.05,154.05,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,0.00%,8.25%,8.25%,10,2019,,
414696,Nizoral Cream 2 %,BH,USD,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.00%,8.25%,8.25%,10,2019,,
376597,Risperdal Consta 50 mg Inj.  ,BH,USD,189.61,189.61,122.95,122.95,189.61,189.61,122.95,122.95,189.61,189.61,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,122.95,0.00%,8.25%,8.25%,10,2019,,
140309,Pevaryl Cream 1 % 30g,BH,USD,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,0.00%,8.25%,8.25%,10,2019,,
32461,Vermox 20 mg/ml Oral Susp.,BH,USD,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,0.00%,8.25%,8.25%,10,2019,,
414434,Caelyx 2 mg/ml,BH,USD,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,0.00%,8.25%,8.25%,10,2019,,
387691,Concerta 18mg  Extended Release Tab.,BH,USD,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,33.57,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54,0.00%,8.25%,8.25%,10,2019,,
